RunTime,WheelSpeed,WheelBackupSpeed,WheelSpeedReference,DutyCycle,WheelCurrent,DigitalCurrent,MCUtemperature,BackupMode,ControlMode,MotorSwitch,WheelErrorState
222.848,0,0,0,0.024276096,3,28,23,False,SpeedController,True,
223.557,0,0,0,0,3,28,25,False,SpeedController,True,
224.265,0,0,0,0,3,28,25,False,SpeedController,True,
224.980,0,0,0,0.0045660934,3,28,24,False,SpeedController,True,
225.675,0,0,0,0,3,28,25,False,SpeedController,True,
226.400,0,0,0,0,3,28,23,False,SpeedController,True,
227.097,0,0,0,0,3,28,23,False,SpeedController,True,
227.807,0,0,0,0,3,28,25,False,SpeedController,True,
228.517,0,0,0,-0.010989854,3,28,24,False,SpeedController,True,
229.215,0,0,0,0,3,28,23,False,SpeedController,True,
229.925,0,0,0,0,3,28,24,False,SpeedController,True,
230.636,0,0,0,0,3,28,25,False,SpeedController,True,
231.332,0,0,0,-0.018317502,3,28,23,False,SpeedController,True,
232.043,0,0,0,0,3,28,24,False,SpeedController,True,
232.765,0,0,0,0.038454663,3,28,25,False,SpeedController,True,
233.469,0,0,0,0,3,28,24,False,SpeedController,True,
234.173,0,0,0,0,3,28,25,False,SpeedController,True,
234.877,0,0,0,0.0015150786,3,28,24,False,SpeedController,True,
235.580,0,0,0,0,3,28,23,False,SpeedController,True,
236.299,0,0,0,0,3,28,23,False,SpeedController,True,
237.023,0,0,0,0,3,28,23,False,SpeedController,True,
237.723,0,0,0,-0.012440309,3,28,24,False,SpeedController,True,
238.428,0,0,0,0,3,28,24,False,SpeedController,True,
239.131,0,0,0,0,3,28,24,False,SpeedController,True,
239.834,0,0,0,0.0039667417,3,28,24,False,SpeedController,True,
240.538,0,0,0,0,3,28,24,False,SpeedController,True,
241.243,0,0,0,0,3,28,23,False,SpeedController,True,
241.946,0,0,0,0,3,28,25,False,SpeedController,True,
242.649,0,0,0,0,3,28,24,False,SpeedController,True,
243.352,0,0,0,0,3,28,24,False,SpeedController,True,
244.055,0,0,0,0,3,28,24,False,SpeedController,True,
244.758,0,0,0,0,3,28,25,False,SpeedController,True,
245.462,0,0,0,0,3,28,23,False,SpeedController,True,
246.167,0,0,0,0,3,28,23,False,SpeedController,True,
246.871,0,0,0,0.01397657,3,28,23,False,SpeedController,True,
247.574,0,0,0,0,3,28,24,False,SpeedController,True,
248.278,0,0,0,0,3,28,24,False,SpeedController,True,
248.982,0,0,0,0.0075430567,3,28,23,False,SpeedController,True,
249.684,0,0,0,0,3,28,25,False,SpeedController,True,
250.388,0,0,0,0,3,28,24,False,SpeedController,True,
251.091,0,0,0,-0.0153291505,3,28,25,False,SpeedController,True,
251.796,0,0,0,0.0165342,3,28,24,False,SpeedController,True,
252.498,0,0,0,0,3,28,23,False,SpeedController,True,
253.201,0,0,0,0,3,28,24,False,SpeedController,True,
253.897,0,0,0,0,3,28,24,False,SpeedController,True,
254.613,0,0,0,0,3,28,24,False,SpeedController,True,
255.331,0,0,0,0,3,28,24,False,SpeedController,True,
256.046,0,0,0,-0.0008458453,3,28,24,False,SpeedController,True,
256.740,0,0,0,0,3,28,25,False,SpeedController,True,
257.450,0,0,0,0,3,28,25,False,SpeedController,True,
258.150,0,0,0,0,3,28,24,False,SpeedController,True,
258.862,0,0,0,0,3,28,24,False,SpeedController,True,
259.580,0,0,0,0,3,28,24,False,SpeedController,True,
260.282,0,0,0,0,3,28,25,False,SpeedController,True,
260.976,0,0,0,0,3,28,24,False,SpeedController,True,
261.685,0,0,0,0,3,28,25,False,SpeedController,True,
262.379,0,0,0,0,3,28,24,False,SpeedController,True,
263.093,0,0,0,0,3,28,25,False,SpeedController,True,
263.803,0,0,0,0.011010814,3,28,23,False,SpeedController,True,
264.512,0,0,0,-0.010836653,3,28,24,False,SpeedController,True,
265.217,0,0,0,0.01952568,3,28,23,False,SpeedController,True,
265.912,0,0,0,0,3,28,24,False,SpeedController,True,
266.619,0,0,0,0.0147857675,3,28,23,False,SpeedController,True,
267.317,0,0,0,0,3,28,23,False,SpeedController,True,
268.033,0,0,0,0,3,28,23,False,SpeedController,True,
268.734,0,0,0,0,3,28,24,False,SpeedController,True,
269.428,0,0,0,0,3,28,24,False,SpeedController,True,
270.134,0,0,0,0,3,28,25,False,SpeedController,True,
270.834,0,0,0,0.013293147,3,28,24,False,SpeedController,True,
271.547,0,0,0,0.007507583,3,28,25,False,SpeedController,True,
